"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"R72","1","190k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R73","1","9.5k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"Rsense_pack1","1","15m 75PPM 3W","","","","Resistor_4527_package:RESM11569X253N",""
"Rsense_POUT1,Rsense_PPHV1","2","5m","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"SW1","1","SW_Push","","","","Button_Switch_SMD:SW_SPST_PTS647_Sx38",""
"TP2","1","TestPoint_2Pole","","","","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"TP3","1","SDA Testpoint","","","","TestPoint:TestPoint_Keystone_5005-5009_Compact",""
"TP4","1","SCL Testpoint","","","","TestPoint:TestPoint_Keystone_5005-5009_Compact",""
"U1","1","BQ76920PW","","","","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm",""
"U2","1","BQ76200PW","","","","Package_SO:TSSOP-16_4.4x5mm_P0.65mm",""
"U3","1","BQ78350DBT","","","","Package_SO:TSSOP-30_4.4x7.8mm_P0.5mm",""
"U4","1","BQ25756ERRVR","","","","BQ25756E:VQFN36_RRV_TEX","https://www.ti.com/lit/gpn/bq25756e"
"U5","1","TVS2200DRV","","","","Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm",""
"U6","1","TPS25730D","","","","Package_DFN_QFN:Texas_REF0038A_WQFN-38-2EP_6x4mm_P0.4",""
